"year","houdist_id","muni_name"
"2025","WOR05","HUBBARDSTON"
"2025","WOR05","LEICESTER"
"2025","WOR05","NEW BRAINTREE"
"2025","WOR05","NORTH BROOKFIELD"
"2025","WOR05","OAKHAM"
"2025","WOR05","SPENCER"
"2025","WOR05","WARE"
"2025","WOR05","WEST BROOKFIELD"
"2025","WOR06","CHARLTON"
"2025","WOR06","DUDLEY"
"2025","WOR06","SOUTHBRIDGE"
"2025","WOR06","SPENCER"
"2025","WOR07","AUBURN"
"2025","WOR07","CHARLTON"
"2025","WOR07","LEICESTER"
"2025","WOR07","MILLBURY"
"2025","WOR07","OXFORD"
"2025","WOR08","BELLINGHAM"
"2025","WOR08","BLACKSTONE"
"2025","WOR08","MEDWAY"
"2025","WOR08","MILLVILLE"
"2025","WOR08","UXBRIDGE"
"2025","WOR09","GRAFTON"
"2025","WOR09","NORTHBRIDGE"
"2025","WOR09","UPTON"
"2025","WOR10","HOPEDALE"
"2025","WOR10","MENDON"
"2025","WOR10","MILFORD"
"2025","WOR11","SHREWSBURY"
"2025","WOR11","WESTBOROUGH"
"2025","WOR12","BERLIN"
"2025","WOR12","BOYLSTON"
"2025","WOR12","CLINTON"
"2025","WOR12","LANCASTER"
"2025","WOR12","NORTHBOROUGH"
"2025","WOR12","STERLING"
"2025","WOR13","WORCESTER"
"2025","WOR14","WEST BOYLSTON"
"2025","WOR14","WORCESTER"
"2025","WOR15","WORCESTER"
"2025","WOR16","WORCESTER"
"2025","WOR17","LEICESTER"
"2025","WOR17","WORCESTER"
"2025","WOR18","DOUGLAS"
"2025","WOR18","OXFORD"
"2025","WOR18","SUTTON"
"2025","WOR18","UXBRIDGE"
"2025","WOR18","WEBSTER"
"2025","WOR19","FRAMINGHAM"
"2025","WOR19","NORTHBOROUGH"
"2025","WOR19","SOUTHBOROUGH"
"2025","WOR19","WESTBOROUGH"
